PurchaseAmountUSD,NumberofEngagements,SubscriptionDuration,
0.00,80,369,
38.49,10,99,
0.00,150,91,
119.88,31,366,
0.00,563,508,
0.00,14,270,
0.00,102,543,
10.45,189,731,
0.00,42,183,
10.45,17,731,
0.00,47,366,
0.00,23,368,
0.00,23,368,
0.00,96,182,
39.00,70,95,
37.54,190,181,
35.97,228,94,
0.00,33,365,
217.69,70,28954,
51.46,46,368,
0.00,13,28768,
0.00,93,365,
0.00,68,366,
119.00,299,380,
22.83,359,366,
48.68,177,277,
0.00,290,338,
119.00,57,365,
10.45,55,823,
0.00,9,92,
0.00,572,289,
0.00,277,457,
201.19,95,28800,
35.97,15,373,
19.99,58,160,
0.00,134,316,
0.00,45,91,
0.00,77,365,
0.00,132,350,
0.00,48,184,
38.27,172,95,
0.00,134,365,
199.00,126,28779,
0.00,196,92,
0.00,321,365,
0.00,8,457,
0.00,47,28784,
0.00,35,92,
65.94,71,186,
0.00,38,181,
81.13,400,549,
32.16,240,182,
0.00,56,365,
0.00,98,365,
0.00,45,28771,
0.00,184,28768,
65.94,49,182,
0.00,9,92,
0.00,11,90,
44.66,32,144,
39.00,85,95,
392.27,281,731,
0.00,97,366,
0.00,841,562,
82.72,19,95,
0.00,43,183,
0.00,15,183,
37.77,13,93,
0.00,69,366,
0.00,29,369,
0.00,217,121,
91.88,251,610,
79.00,170,576,
199.00,38,28777,
199.00,65,28787,
0.00,49,107,
0.00,68,366,
141.11,148,28909,
189.00,1,28888,
189.00,30,28804,
0.00,128,91,
0.00,92,29243,
0.00,12,92,
199.00,16,28771,
0.00,26,92,
0.00,22,365,
0.00,37,92,
0.00,32,92,
199.00,92,28766,
0.00,23,92,
119.88,23,38,
0.00,871,365,
38.13,60,282,
0.00,49,345,
0.00,76,92,
189.00,2,28804,
35.97,250,95,
138.63,120,29224,
0.00,153,29115,
19.99,70,37,
0.00,2,92,
199.00,45,28776,
0.00,109,338,
0.00,24,181,
35.97,36,94,
0.00,300,365,
0.00,22,183,
105.67,33,92,
0.00,33,505,
65.94,255,183,
0.00,140,29207,
0.00,154,184,
143.76,154,731,
0.00,38,92,
0.00,265,183,
35.97,64,93,
0.00,45,254,
0.00,164,91,
0.00,77,184,
0.00,38,92,
0.00,36,296,
0.00,41,91,
0.00,59,274,
0.00,64,242,
0.00,3,92,
35.97,78,92,
35.97,13,457,
189.00,484,28805,
143.76,19,730,
0.00,174,347,
0.00,174,347,
0.00,139,233,
236.81,38,28784,
0.00,48,274,
0.00,10,368,
26.80,149,92,
0.00,88,182,
79.00,22,184,
79.00,54,185,
0.00,51,90,
0.00,2,89,
0.00,367,28771,
198.45,122,28803,
35.97,158,91,
0.00,37,91,
0.00,56,181,
0.00,20,366,
42.66,291,186,
0.00,50,91,
0.00,1,92,
435.37,229,731,
35.97,98,96,
0.00,14,387,
198.45,196,28800,
0.00,33,182,
0.00,17,365,
0.00,7,734,
39.00,53,95,
0.00,83,366,
0.00,109,183,
79.00,9,183,
0.00,76,365,
0.00,38,334,
195.11,324,29255,
0.00,147,368,
212.93,4,28781,
189.00,51,28792,
169.00,142,366,
0.00,16,365,
26.80,189,92,
37.52,30,95,
0.00,646,29173,
0.00,654,275,
0.00,64,28796,
0.00,6,182,
0.00,3,28765,
51.46,161,274,
199.00,20,28770,
0.00,12,92,
0.00,159,28788,
35.97,1,524,
0.00,73,369,
0.00,9,731,
10.45,64,731,
0.00,100,91,
0.00,69,355,
0.00,34,369,
0.00,134,330,
0.00,21,90,
0.00,71,99,
95.88,76,366,
0.00,11,367,
49.40,5,143,
211.44,7,28771,
0.00,4,92,
0.00,38,320,
49.00,75,29181,
210.94,11,28792,
39.00,14,95,
0.00,47,368,
0.00,5,316,
75.48,94,373,
65.94,66,182,
189.00,47,28789,
240.79,46,28776,
9.54,84,731,
0.00,25,366,
0.00,36,457,
112.17,345,186,
0.00,92,182,
35.97,377,639,
0.00,26,28775,
0.00,402,369,
0.00,222,274,
0.00,27,288,
13.91,210,366,
0.00,50,182,
65.94,35,183,
79.00,69,277,
0.00,52,365,
0.00,59,185,
35.97,19,92,
0.00,4,28792,
189.00,26,28793,
0.00,110,390,
95.88,509,366,
62.38,36,92,
0.00,253,112,
119.00,93,185,
0.00,5,92,
